tag_full_name;description;data_type;direction;ab_type;ab_addr;ab_off;selector;other
sev.DI6.DI_6;Резерв;BOOL (1 bit);R;ИНР;1;84;&h20;, , , , , , 
sev.DI6.DI_7;Резерв;BOOL (1 bit);R;ИНР;1;84;&h40;, , , , , , 
sev.DI6.DI_8;Резерв;BOOL (1 bit);R;ИНР;1;84;&h80;, , , , , , 
sev.DI7;ПЗэ2/1;INT (1 byte);R;ИНР;1;88;;, , , , , , 
sev.DI7.DI_1;Открыто;BOOL (1 bit);R;ИНР;1;88;&h01;, , , , , , 
sev.DI7.DI_2;Движение;BOOL (1 bit);R;ИНР;1;88;&h02;, , , , , , 
sev.DI7.DI_3;Резерв;BOOL (1 bit);R;ИНР;1;88;&h04;, , , , , , 
sev.DI7.DI_4;Резерв;BOOL (1 bit);R;ИНР;1;88;&h08;, , , , , , 
sev.DI7.DI_5;Резерв;BOOL (1 bit);R;ИНР;1;88;&h10;, , , , , , 
sev.DI7.DI_6;Резерв;BOOL (1 bit);R;ИНР;1;88;&h20;, , , , , , 
sev.DI7.DI_7;Резерв;BOOL (1 bit);R;ИНР;1;88;&h40;, , , , , , 
sev.DI7.DI_8;Резерв;BOOL (1 bit);R;ИНР;1;88;&h80;, , , , , , 
sev.DI8;ПЗэ2/2;INT (1 byte);R;ИНР;1;92;;, , , , , , 
sev.DI8.DI_1;Открыто;BOOL (1 bit);R;ИНР;1;92;&h01;, , , , , , 
sev.DI8.DI_2;Движение;BOOL (1 bit);R;ИНР;1;92;&h02;, , , , , , 
sev.DI8.DI_3;Резерв;BOOL (1 bit);R;ИНР;1;92;&h04;, , , , , , 
sev.DI8.DI_4;Резерв;BOOL (1 bit);R;ИНР;1;92;&h08;, , , , , , 
sev.DI8.DI_5;Резерв;BOOL (1 bit);R;ИНР;1;92;&h10;, , , , , , 
sev.DI8.DI_6;Резерв;BOOL (1 bit);R;ИНР;1;92;&h20;, , , , , , 
sev.DI8.DI_7;Резерв;BOOL (1 bit);R;ИНР;1;92;&h40;, , , , , , 
sev.DI8.DI_8;Резерв;BOOL (1 bit);R;ИНР;1;92;&h80;, , , , , , 
sev.DI10;ПЗэ2/3;INT (1 byte);R;ИНР;1;96;;, , , , , , 
sev.DI10.DI_1;Открыто;BOOL (1 bit);R;ИНР;1;96;&h01;, , , , , , 
sev.DI10.DI_2;Движение;BOOL (1 bit);R;ИНР;1;96;&h02;, , , , , , 
sev.DI10.DI_3;Резерв;BOOL (1 bit);R;ИНР;1;96;&h04;, , , , , , 
sev.DI10.DI_4;Резерв;BOOL (1 bit);R;ИНР;1;96;&h08;, , , , , , 
sev.DI10.DI_5;Резерв;BOOL (1 bit);R;ИНР;1;96;&h10;, , , , , , 
sev.DI10.DI_6;Резерв;BOOL (1 bit);R;ИНР;1;96;&h20;, , , , , , 
sev.DI10.DI_7;Резерв;BOOL (1 bit);R;ИНР;1;96;&h40;, , , , , , 
sev.DI10.DI_8;Резерв;BOOL (1 bit);R;ИНР;1;96;&h80;, , , , , , 
sev.DI11;ПЗэ2/4;INT (1 byte);R;ИНР;1;100;;, , , , , , 
sev.DI11.DI_1;Открыто;BOOL (1 bit);R;ИНР;1;100;&h01;, , , , , , 
sev.DI11.DI_2;Движение;BOOL (1 bit);R;ИНР;1;100;&h02;, , , , , , 
sev.DI11.DI_3;Резерв;BOOL (1 bit);R;ИНР;1;100;&h04;, , , , , , 
sev.DI11.DI_4;Резерв;BOOL (1 bit);R;ИНР;1;100;&h08;, , , , , , 
sev.DI12;ПЗэ3/1;INT (1 byte);R;ИНР;1;104;;, , , , , , 
sev.DI12.DI_1;Открыто;BOOL (1 bit);R;ИНР;1;104;&h01;, , , , , , 
sev.DI12.DI_2;Движение;BOOL (1 bit);R;ИНР;1;104;&h02;, , , , , , 
sev.DI12.DI_3;Резерв;BOOL (1 bit);R;ИНР;1;104;&h04;, , , , , , 
sev.DI12.DI_4;Резерв;BOOL (1 bit);R;ИНР;1;104;&h08;, , , , , , 
sev.DI13;ПЗэ3/2;INT (1 byte);R;ИНР;1;108;;, , , , , , 
sev.DI13.DI_1;Открыто;BOOL (1 bit);R;ИНР;1;108;&h01;, , , , , , 
sev.DI13.DI_2;Движение;BOOL (1 bit);R;ИНР;1;108;&h02;, , , , , , 
sev.DI13.DI_3;Резерв;BOOL (1 bit);R;ИНР;1;108;&h04;, , , , , , 
sev.DI13.DI_4;Резерв;BOOL (1 bit);R;ИНР;1;108;&h08;, , , , , , 
sev.DI14;ПЗэ3/3;INT (1 byte);R;ИНР;1;112;;, , , , , , 
sev.DI14.DI_1;Открыто;BOOL (1 bit);R;ИНР;1;112;&h01;, , , , , , 
sev.DI14.DI_2;Движение;BOOL (1 bit);R;ИНР;1;112;&h02;, , , , , , 
sev.DI14.DI_3;Резерв;BOOL (1 bit);R;ИНР;1;112;&h04;, , , , , , 
sev.DI14.DI_4;Резерв;BOOL (1 bit);R;ИНР;1;112;&h08;, , , , , , 
sev.DI15;ПЗэ3/4;INT (1 byte);R;ИНР;1;116;;, , , , , , 
sev.DI15.DI_1;Открыто;BOOL (1 bit);R;ИНР;1;116;&h01;, , , , , , 
sev.DI15.DI_2;Движение;BOOL (1 bit);R;ИНР;1;116;&h02;, , , , , , 
sev.DI15.DI_3;Резерв;BOOL (1 bit);R;ИНР;1;116;&h04;, , , , , , 
sev.DI15.DI_4;Резерв;BOOL (1 bit);R;ИНР;1;116;&h08;, , , , , , 
sev.DI16;ПЗэ5;INT (1 byte);R;ИНР;1;120;;, , , , , , 
sev.DI16.DI_1;Открыто;BOOL (1 bit);R;ИНР;1;120;&h01;, , , , , , 
sev.DI16.DI_2;Движение;BOOL (1 bit);R;ИНР;1;120;&h02;, , , , , , 
sev.DI16.DI_3;Резерв;BOOL (1 bit);R;ИНР;1;120;&h04;, , , , , , 
sev.DI16.DI_4;Резерв;BOOL (1 bit);R;ИНР;1;120;&h08;, , , , , , 
sev.DI17;адр 4186;INT (1 byte);R;ИНР;1;124;;, , , , , , 
sev.DI17.DI_1;УФЛ1 вкл;BOOL (1 bit);R;ИНР;1;124;&h01;, , , , , , 
sev.DI17.DI_2;Резерв;BOOL (1 bit);R;ИНР;1;124;&h02;, , , , , , 
sev.DI17.DI_3;Резерв;BOOL (1 bit);R;ИНР;1;124;&h04;, , , , , , 
sev.DI17.DI_4;Резерв;BOOL (1 bit);R;ИНР;1;124;&h08;, , , , , , 
sev.DI17.DI_5;Резерв;BOOL (1 bit);R;ИНР;1;124;&h10;, , , , , , 
sev.DI17.DI_6;Резерв;BOOL (1 bit);R;ИНР;1;124;&h20;, , , , , , 
sev.DI17.DI_7;Резерв;BOOL (1 bit);R;ИНР;1;124;&h40;, , , , , , 
sev.DI17.DI_8;Резерв;BOOL (1 bit);R;ИНР;1;124;&h80;, , , , , , 
sev.DI18;адр 4200;INT (1 byte);R;ИНР;1;128;;, , , , , , 
sev.DI18.DI_1;НД1 вкл;BOOL (1 bit);R;ИНР;1;128;&h01;, , , , , , 
sev.DI18.DI_2;НД2 вкл;BOOL (1 bit);R;ИНР;1;128;&h02;, , , , , , 
sev.DI18.DI_3;Общая авария;BOOL (1 bit);R;ИНР;1;128;&h04;, , , , , , 
sev.DI18.DI_4;Вытяжн вкл;BOOL (1 bit);R;ИНР;1;128;&h08;, , , , , , 
sev.DI18.DI_5;Н1 вкл;BOOL (1 bit);R;ИНР;1;128;&h10;, , , , , , 
sev.DI18.DI_6;Скваж насос Н0 вкл;BOOL (1 bit);R;ИНР;1;128;&h20;, , , , , , 
sev.DI18.DI_7;Резерв;BOOL (1 bit);R;ИНР;1;128;&h40;, , , , , , 
sev.DI18.DI_8;Резерв;BOOL (1 bit);R;ИНР;1;128;&h80;, , , , , , 
sev.DI21;адр 4201;INT (1 byte);R;ИНР;1;140;;, , , , , , 
sev.DI21.DI_1;Режим А;BOOL (1 bit);R;ИНР;1;140;&h01;, , , , , , 
sev.DI21.DI_2;Резерв;BOOL (1 bit);R;ИНР;1;140;&h02;, , , , , , 
sev.DI21.DI_3;Резерв;BOOL (1 bit);R;ИНР;1;140;&h04;, , , , , , 
sev.DI21.DI_4;Резерв;BOOL (1 bit);R;ИНР;1;140;&h08;, , , , , , 
sev.DI21.DI_5;Резерв;BOOL (1 bit);R;ИНР;1;140;&h10;, , , , , , 
sev.DI21.DI_6;Резерв;BOOL (1 bit);R;ИНР;1;140;&h20;, , , , , , 
sev.DI21.DI_7;Резерв;BOOL (1 bit);R;ИНР;1;140;&h40;, , , , , , 
sev.DI21.DI_8;Резерв;BOOL (1 bit);R;ИНР;1;140;&h80;, , , , , , 
sev.PZ1_a;ПЗэ1 авария;BOOL (1 bit);R;ИНР;1;144;;, , , , , , 
sev.PZ2_a;ПЗэ4 авария;BOOL (1 bit);R;ИНР;1;148;;, , , , , , 
sev.PZ3_a;ПЗэ6 авария;BOOL (1 bit);R;ИНР;1;152;;, , , , , , 
sev.KSH1_a;КШэ1 авария;BOOL (1 bit);R;ИНР;1;156;;, , , , , , 
sev.KSH2/1_a;ПЗэ2/1 авария;BOOL (1 bit);R;ИНР;1;160;;, , , , , , 
sev.KSH2/2_a;ПЗэ2/2 авария;BOOL (1 bit);R;ИНР;1;164;;, , , , , , 
sev.KSH2/3_a;ПЗэ2/3 авария;BOOL (1 bit);R;ИНР;1;168;;, , , , , , 
sev.KSH2/4_a;ПЗэ2/4 авария;BOOL (1 bit);R;ИНР;1;172;;, , , , , , 
